IP,LAST_CHECK_TIME,PORT,POSITION,SPEED,TYPE
115.233.210.218,2018-12-03 11:30:36,808,中国 浙江省 杭州市 电信,1秒,HTTP
113.200.214.164,2018-12-03 10:31:01,9999,中国 陕西 西安 联通,1秒,HTTP
58.244.142.255,2018-12-03 09:29:54,80,中国 吉林省 长春市 联通,1秒,HTTP
117.141.155.243,2018-12-03 08:30:59,53281,中国 广西壮族自治区 南宁市 移动,2秒,HTTP
117.141.155.244,2018-12-03 07:30:59,53281,中国 广西壮族自治区 南宁市 移动,2秒,HTTP
115.233.210.218,2018-12-03 06:30:57,808,中国 浙江省 杭州市 电信,2秒,HTTP
123.139.56.238,2018-12-03 05:31:00,9999,中国 陕西省 西安市 联通,0.6秒,HTTP
223.85.196.75,2018-12-03 04:31:11,9797,中国 四川省 成都市 移动,2秒,HTTP
114.249.119.9,2018-12-03 03:31:04,9000,中国 北京 北京 联通,2秒,HTTP
14.20.235.123,2018-12-03 02:30:55,808,中国 广东 中山 电信,2秒,HTTP
222.217.19.248,2018-12-03 01:31:08,8080,广西壮族自治区柳州市  电信,2秒,HTTP
223.85.196.75,2018-12-03 00:31:04,9999,中国 四川省 成都市 移动,2秒,HTTP
119.57.108.89,2018-12-02 23:31:00,53281,中国 北京市 北京市 联通,2秒,HTTP
123.56.151.10,2018-12-02 22:31:00,9999,中国 北京市 北京市 阿里云,2秒,HTTP
222.74.61.98,2018-12-02 21:30:29,53281,中国 内蒙古 包头 电信,2秒,HTTP
112.253.22.161,2018-12-02 20:33:04,80,中国 山东省 潍坊市 联通,1秒,HTTP
123.139.56.238,2018-12-02 19:33:02,9999,中国 陕西省 西安市 联通,2秒,HTTP
111.47.154.38,2018-12-02 18:31:50,53281,湖北省襄阳市  移动,0.5秒,HTTP
58.247.127.145,2018-12-02 17:32:58,53281,中国 上海市 上海市 联通,3秒,HTTP
58.58.48.138,2018-12-02 16:32:56,53281,中国 山东省 济宁市 电信,3秒,HTTP
183.196.170.247,2018-12-02 15:32:44,9000,中国 河北省 秦皇岛市 移动,3秒,HTTP
223.85.196.75,2018-12-02 14:31:09,9999,中国 四川省 成都市 移动,3秒,HTTP
219.138.138.241,2018-12-02 13:32:15,80,中国 湖北省 黄冈市 电信,1秒,HTTP
117.141.155.243,2018-12-02 12:32:29,53281,中国 广西壮族自治区 南宁市 移动,0.9秒,HTTP
14.29.2.39,2018-12-02 11:32:50,80,中国 广东省 广州市 电信,1秒,HTTP
124.237.83.14,2018-12-02 10:32:49,53281,中国 河北 秦皇岛 电信,2秒,HTTP
120.194.18.90,2018-12-02 09:32:41,81,中国 河南省 郑州市 移动,3秒,HTTP
218.241.234.48,2018-12-02 08:32:48,8080,中国 北京市 北京市 鹏博士,2秒,HTTP
113.65.160.148,2018-12-02 07:32:36,9797,中国 广东 广州 电信,1秒,HTTP
222.217.19.248,2018-12-02 06:32:43,8080,广西壮族自治区柳州市  电信,1秒,HTTP
14.115.107.99,2018-12-02 05:32:41,9797,中国 广东 中山 电信,2秒,HTTP
221.6.201.18,2018-12-02 04:31:49,9999,中国 江苏省 南通市 联通,1秒,HTTP
120.194.18.90,2018-12-02 03:32:42,81,中国 河南省 郑州市 移动,1秒,HTTP
58.17.125.215,2018-12-02 02:31:55,53281,中国 江西省 九江市 联通,1秒,HTTP
103.61.153.100,2018-12-02 01:31:07,53281,中国 北京 北京 电信,1秒,HTTP
14.118.130.213,2018-12-02 00:32:04,8081,中国 广东 深圳 电信,2秒,HTTP
14.115.107.99,2018-12-01 23:32:20,9797,中国 广东 中山 电信,1秒,HTTP
119.57.108.53,2018-12-01 22:32:28,53281,中国 北京市 北京市 联通,2秒,HTTP
123.139.56.238,2018-12-01 21:32:27,9999,中国 陕西省 西安市 联通,3秒,HTTP
163.125.16.198,2018-12-01 20:32:25,8888,中国 广东省 深圳市 联通,2秒,HTTP
14.29.2.40,2018-12-01 19:32:32,80,中国 广东省 广州市 电信,3秒,HTTP
58.17.125.215,2018-12-01 18:32:31,53281,中国 江西省 九江市 联通,1.0秒,HTTP
221.7.255.167,2018-12-01 17:32:24,80,中国 广西 南宁 联通,1秒,HTTP
124.237.83.14,2018-12-01 16:32:27,53281,中国 河北 秦皇岛 电信,3秒,HTTP
163.125.16.198,2018-12-01 15:31:37,8888,中国 广东省 深圳市 联通,1秒,HTTP
